Red curve_x,Red curve_y
157.7579956055,508.
158.0027713776,559.
158.2475471497,581.
158.4923229218,563.
158.7370986938,583.
158.9818744659,565.
159.2266502380,599.
159.4714260101,567.
159.7162017822,573.
159.9609775543,585.
160.2057533264,551.
160.4505290985,548.
160.6953048706,572.
160.9400806427,628.
161.1848564148,624.
161.4296321869,564.
161.674407959,568.
161.9191837311,576.
162.1639595032,578.
162.4087352753,600.
162.6535110474,633.
162.8982868195,581.
163.1430625916,577.
163.3878383636,563.
163.6326141357,568.
163.8773899078,579.
164.1221656799,585.
164.3669414520,596.
164.6117172241,566.
164.8564929962,584.
165.1012687683,613.
165.3460445404,561.
165.5908203125,585.
165.8355960846,593.
166.0803718567,579.
166.3251476288,555.
166.5699234009,599.
166.814699173,601.
167.0594749451,596.
167.3042507172,607.
167.5490264893,607.
167.7938022614,615.
168.0385780334,624.
168.2833538055,611.
168.5281295776,585.
168.7729053497,580.
169.0176811218,621.
169.2624568939,625.
169.5072326660,562.
169.7520084381,582.
169.9967842102,598.
170.2415599823,582.
170.4863357544,613.
170.7311115265,604.
170.9758872986,565.
171.2206630707,568.
171.4654388428,602.
171.7102146149,622.
171.954990387,612.
172.1997661591,604.
172.4445419312,617.
172.6893177032,582.
172.9340934753,599.
173.1788692474,577.
173.4236450195,645.
173.6684207916,625.
173.9131965637,641.
174.1579723358,600.
174.4027481079,558.
174.6475238800,590.
174.8922996521,624.
175.1370754242,620.
175.3818511963,656.
175.6266269684,645.
175.8714027405,639.
176.1161785126,595.
176.3609542847,584.
176.6057300568,641.
176.8505058289,629.
177.095281601,611.
177.3400573730,648.
177.5848331451,617.
177.8296089172,620.
178.0743846893,632.
178.3191604614,612.
178.5639362335,614.
178.8087120056,568.
179.0534877777,608.
179.2982635498,654.
179.5430393219,649.
179.787815094,618.
180.0325908661,614.
180.2773666382,648.
180.5221424103,688.
180.7669181824,677.
181.0116939545,611.
181.2564697266,601.
181.5012454987,643.
181.7460212708,652.
181.9907970428,679.
182.2355728149,625.
182.4803485870,645.
182.7251243591,636.
182.9699001312,634.
183.2146759033,627.
183.4594516754,648.
183.7042274475,639.
183.9490032196,635.
184.1937789917,643.
184.4385547638,659.
184.6833305359,669.
184.928106308,648.
185.1728820801,672.
185.4176578522,656.
185.6624336243,655.
185.9072093964,683.
